진료과,증상,외래키
내과,기침,1
내과,인후통,1
내과,발열,1
내과,복통,1
가정의학과,피로감,2
가정의학과,두통,2
가정의학과,소화불량,2
가정의학과,콧물,2
마취통증의학과,만성 통증,3
마취통증의학과,관절 통증,3
마취통증의학과,신경 통증,3
마취통증의학과,수술 후 통증 관리,3
보건소,예방 접종,4
보건소,건강 상담,4
보건소,성인병 관리,4
보건소,감염병 관리,4
산부인과,생리통,5
산부인과,임신 확인,5
산부인과,분만,5
산부인과,여성 건강 검진,5
성형외과,피부 미용 시술,6
성형외과,성형 수술 상담,6
성형외과,흉터 치료,6
성형외과,레이저 시술,6
소아청소년과,영유아 검진,7
소아청소년과,예방 접종,7
소아청소년과,성장 상담,7
소아청소년과,어린이 발열,7
신경과,두통,8
신경과,어지럼증,8
신경과,마비,8
신경과,떨림,8
외과,상처 치료,9
외과,탈장 수술,9
외과,맹장 수술,9
외과,종양 제거 수술,9
요양병원,장기 요양,10
요양병원,재활 치료,10
요양병원,만성 질환 관리,10
요양병원,임종 간호,10
이비인후과,코막힘,11
이비인후과,목 통증,11
이비인후과,귀 통증,11
이비인후과,어지럼증,11
재활의학과,물리 치료,12
재활의학과,작업 치료,12
재활의학과,운동 치료,12
재활의학과,통증 재활,12
정신과,우울감,13
정신과,불안,13
정신과,불면,13
정신과,스트레스,13
정형외과,관절 통증,14
정형외과,골절 치료,14
정형외과,인대 손상,14
정형외과,척추 질환,14
종합병원,(다양한 증상),15
종합병원,(다양한 증상),15
종합병원,(다양한 증상),15
종합병원,(다양한 증상),15
치과,충치,16
치과,잇몸 통증,16
치과,치아 교정 상담,16
치과,구강 검진,16
피부과,피부 발진,17
피부과,가려움,17
피부과,습진,17
피부과,알레르기,17
한의원,피로,18
한의원,근육통,18
한의원,수면 장애,18
비뇨기과,소변 불편,19
비뇨기과,옆구리 통증,19
비뇨기과,빈뇨,19
비뇨기과,잔뇨감,19
