NO,병원명,병원구분,전화번호,소재지주소,Latitude,Longitude,외래키
1,행복한가정의학과의원,가정의학과,041-553-6575,충청남도 천안시 동남구 터미널9길 25 303호 (신부동 신비프라자),36.8232212,127.1554278,2
2,고려가정의학과의원,가정의학과,041-622-9398,충청남도 천안시 동남구 목천읍 신계1길 41 401호 (동우아파트상가),36.7720166,127.1938805,2
3,히스기야가정의학과의원,가정의학과,041-557-7506,충청남도 천안시 동남구 남부대로 322 청당스타빌딩 4층 (청당동),36.7812443,127.1530614,2
4,한사랑가정의학과의원,가정의학과,041-573-5595,"충청남도 천안시 동남구 일봉로 8 학산빌딩 3,4층 (신방동)",36.7933083,127.1294545,2
5,직산가정의학과의원,가정의학과,041-583-8500,충청남도 천안시 서북구 직산읍 직산로 31 2층,36.8801031,127.1537074,2
6,정가정의학과의원,가정의학과,041-582-1117,충청남도 천안시 서북구 직산읍 삼은3길 45 2층,36.8797309,127.1536576,2
7,성모가정의학과의원,가정의학과,041-552-5256,충청남도 천안시 서북구 부성7길 3 204호 (두정동 레몬타워),36.8372548,127.1340714,2
8,연세수빛내과가정의학과의원,가정의학과,041-414-7505,"충청남도 천안시 서북구 성성8로 14-4 미주타워 6층 601,602,603호 (성성동)",36.8403854,127.1287457,2
9,예일가정의학과의원,가정의학과,522-5114,충청남도 천안시 서북구 늘푸른6길 41 상가동 2층 (두정동 극동아파트),36.8294826,127.1319981,2
10,유제열가정의학과의원,가정의학과,041-574-4101,충청남도 천안시 서북구 성정로 103 (성정동),36.813781,127.1414761,2
11,서울더블유내과의원,내과,041-415-0053,"충청남도 천안시 동남구 목천읍 충절로 935-5 2,3층",36.7758408,127.2129608,1
12,속편한내과의원,내과,041-551-6368,충청남도 천안시 동남구 만남로 64 3층 302호 (신부동),36.8190416,127.1594364,1
13,김현응내과의원,내과,041-563-9858,충청남도 천안시 동남구 방죽안3길 19 (신부동 김현웅내과),36.8228236,127.1543605,1
14,김재하내과의원,내과,041-558-8500,충청남도 천안시 동남구 만남로 42 5층 (신부동),36.8186226,127.1568858,1
15,김철현내과의원,내과,041-522-1900,충청남도 천안시 동남구 충절로 25 (신부동 내과의원),36.8281267,127.1706232,1
16,천안정다운내과의원,내과,041-414-0500,충청남도 천안시 동남구 버들로 115-2 다온메디피아 2층 (원성동),36.8066476,127.1593112,1
17,한내과의원,내과,041-563-7575,충청남도 천안시 동남구 문화1길 5-1 (문화동),36.8084756,127.1507979,1
18,이수남내과의원,내과,551-8020,충청남도 천안시 동남구 중앙로 54 (영성동),36.8029521,127.1518297,1
19,윤여일내과의원,내과,555-1069,충청남도 천안시 동남구 구성1길 1 2층 (구성동),36.7945721,127.1600557,1
20,청수내과의원,내과,041-545-2500,충청남도 천안시 동남구 청수6로 103 3층 (청수동),36.7891052,127.15521,1
21,새로운내과의원,내과,041-565-7588,충청남도 천안시 동남구 청수14로 56 3층 (청당동),36.7839317,127.1526116,1
22,상쾌한내과의원,내과,592-7582,충청남도 천안시 동남구 풍세로 798 3층 (청당동),36.7805849,127.1425299,1
23,이낙원내과의원,내과,041-574-5119,충청남도 천안시 동남구 서부대로 278 (신방동 학산TWIN빌딩),36.7930851,127.1293361,1
24,이석훈내과의원,내과,041-577-5711,충청남도 천안시 동남구 서부대로 276 (신방동),36.792686,127.1293511,1
25,김정훈내과의원,내과,041-579-3420,"충청남도 천안시 동남구 서부대로 285 3층 302,303호 (신방동)",36.7933356,127.1284132,1
26,천안엔도내과의원,내과,041-592-7201,충청남도 천안시 동남구 서부대로 293 삼성빌딩 5층 (신방동),36.7938213,127.1276494,1
27,곽병수내과의원,내과,041-574-6943,충청남도 천안시 동남구 서부대로 227 3층 (신방동 예은빌딩),36.788642,127.1283634,1
28,서울내과의원,내과,041-579-1600,충청남도 천안시 동남구 서부대로 221 4층 (신방동),36.7881318,127.1283979,1
29,배편한배내과의원,내과,041-417-0700,충청남도 천안시 동남구 신촌4로 34 금강빌딩 3층 (신방동),36.7891697,127.1251565,1
30,더편한내과의원,내과,041-579-0528,충청남도 천안시 동남구 통정11로 61 3층 (신방동),36.773541,127.1333561,1
31,허윤내과의원,내과,041-583-7582,충청남도 천안시 서북구 입장면 입장로 141 (입장면),36.9138896,127.2219161,1
32,김용현내과의원,내과,041-581-0363,충청남도 천안시 서북구 성환읍 성환12길 45-8 (성환읍),36.9174749,127.1334732,1
33,조병석내과의원,내과,582-0348,충청남도 천안시 서북구 성환읍 성환12길 26 2층,36.917276,127.1307686,1
34,장편한연합내과의원,내과,041-414-5100,충청남도 천안시 서북구 직산읍 봉주로 64 4층,36.8771032,127.153732,1
35,한사랑내과의원,내과,041-587-5287,충청남도 천안시 서북구 직산읍 삼은3길 4 2층,36.8773451,127.1508652,1
36,성성하나로내과의원,내과,041-553-7588,충청남도 천안시 서북구 업성수변로 94 2층 201호 (성성동),36.8493109,127.1381031,1
37,제일편한내과의원,내과,041-523-2778,충청남도 천안시 서북구 봉정로 370 4층 (두정동),36.8348934,127.1458122,1
38,천안오케이내과의원,내과,041-553-2479,충청남도 천안시 서북구 두정로 258 4층 (두정동),36.8329625,127.1457631,1
39,성성조은내과의원,내과,041-566-8175,충청남도 천안시 서북구 성성8로 14-12 4층 (성성동),36.8403844,127.1297315,1
40,서연석내과의원,내과,041-573-9879,충청남도 천안시 서북구 동서대로 135 (성정동),36.8261423,127.138371,1
41,세인트내과의원,내과,622-5800,충청남도 천안시 서북구 서부대로 717 (두정동),36.8311169,127.1330025,1
42,류마앤장내과의원,내과,041-523-7767,충청남도 천안시 서북구 쌍용대로 316 영현빌딩 2~4층 (성정동),36.8254087,127.1376442,1
43,김종훈내과의원,내과,522-2058,충청남도 천안시 서북구 서부대로 688 3층 (성정동),36.8284199,127.1335503,1
44,서울삼성내과의원,내과,041-553-7870,충청남도 천안시 서북구 두정로 104 2층 (두정동),36.8336484,127.1283282,1
45,한빛내과의원,내과,041-578-0075,충청남도 천안시 서북구 쌍용대로 293 2층 (성정동),36.823568,127.1364395,1
46,준내과의원,내과,561-7752,충청남도 천안시 서북구 늘푸른5길 22 3층 (두정동),36.8273204,127.1296961,1
47,성정윌내과의원,내과,041-588-3200,충청남도 천안시 서북구 성정로 82 3층 (성정동),36.8135482,127.1391703,1
48,천안연세내과의원,내과,041-417-7505,충청남도 천안시 서북구 한들2로 8 6층 603.604.605호 (백석동),36.8235834,127.1188973,1
49,윤석중내과의원,내과,041-571-8172,충청남도 천안시 서북구 미라15길 23 2층 (쌍용동 대우타워종합상가),36.8063596,127.1314446,1
50,원내과의원,내과,041-573-6633,충청남도 천안시 서북구 쌍용대로 79 (쌍용동),36.8046746,127.1318615,1
51,유웅선내과의원,내과,041-574-5333,충청남도 천안시 서북구 쌍용대로 43 (쌍용동),36.8012775,127.1313423,1
